Wahlkreis;Wahlkreis-Bez;Land;Regierungsbezirk;Kreis;Verbandsgemeinde;Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
1;Flensburg – Schleswig;1;0;59;5993;57;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Lürschau;;;;24850;
1;Flensburg – Schleswig;1;0;59;5996;58;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Meggerdorf;;;;24799;*****
1;Flensburg – Schleswig;1;0;59;5974;60;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Mohrkirch;;;;24405;*****
1;Flensburg – Schleswig;1;0;59;5987;62;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Neuberend;;;;24879;
1;Flensburg – Schleswig;1;0;59;5974;63;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Norderbrarup;;;;24392;
1;Flensburg – Schleswig;1;0;59;5974;65;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Nottfeld;;;;24392;
1;Flensburg – Schleswig;1;0;59;5920;67;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kappeln-Land;Oersberg;;;;24407;
1;Flensburg – Schleswig;1;0;59;5920;68;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kappeln-Land;Rabenkirchen-Faulück;;;;24407;*****
1;Flensburg – Schleswig;1;0;59;5974;70;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Rügge;;;;24405;
1;Flensburg – Schleswig;1;0;59;5974;72;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Saustrup;;;;24392;*****
1;Flensburg – Schleswig;1;0;59;5987;73;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Schaalby;;;;24882;
1;Flensburg – Schleswig;1;0;59;5974;74;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Scheggerott;;;;24392;
1;Flensburg – Schleswig;1;0;59;0;75;Schleswig-Holstein;;Schleswig-Flensburg;;Schleswig, Stadt;;;;24837;
1;Flensburg – Schleswig;1;0;59;5949;76;Schleswig-Holstein;;Schleswig-Flensburg;Amt Amt Mittelangeln;Schnarup-Thumby;;;;24891;
1;Flensburg – Schleswig;1;0;59;5993;77;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Schuby;;;;24850;*****
1;Flensburg – Schleswig;1;0;59;5915;78;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Selk;;;;24884;
1;Flensburg – Schleswig;1;0;59;5993;79;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Silberstedt;;;;24887;
1;Flensburg – Schleswig;1;0;59;5974;80;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Steinfeld;;;;24888;
1;Flensburg – Schleswig;1;0;59;5987;81;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Stolk;;;;24890;
1;Flensburg – Schleswig;1;0;59;5987;82;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Struxdorf;;;;24891;
1;Flensburg – Schleswig;1;0;59;5974;83;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Süderbrarup;;;;24392;
1;Flensburg – Schleswig;1;0;59;5987;84;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Süderfahrenstedt;;;;24890;
1;Flensburg – Schleswig;1;0;59;5987;86;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Taarstedt;;;;24893;
1;Flensburg – Schleswig;1;0;59;5996;87;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Tetenhusen;;;;24817;*****
1;Flensburg – Schleswig;1;0;59;5996;88;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Tielen;;;;24803;
1;Flensburg – Schleswig;1;0;59;5987;90;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Tolk;;;;24894;
1;Flensburg – Schleswig;1;0;59;5993;92;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Treia;;;;24896;
1;Flensburg – Schleswig;1;0;59;5987;93;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Uelsby;;;;24860;*****
1;Flensburg – Schleswig;1;0;59;5974;94;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Ulsnis;;;;24897;*****
1;Flensburg – Schleswig;1;0;59;5974;95;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Wagersrott;;;;24392;
1;Flensburg – Schleswig;1;0;59;5996;96;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Wohlde;;;;24899;
1;Flensburg – Schleswig;1;0;59;5987;97;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Twedt;;;;24894;
1;Flensburg – Schleswig;1;0;59;5987;98;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Nübel;;;;24881;
1;Flensburg – Schleswig;1;0;59;5919;101;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Tastrup;;;;24943;
1;Flensburg – Schleswig;1;0;59;5990;102;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Ahneby;;;;24996;
1;Flensburg – Schleswig;1;0;59;5919;103;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Ausacker;;;;24975;
1;Flensburg – Schleswig;1;0;59;5952;105;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Böxlund;;;;24994;
1;Flensburg – Schleswig;1;0;59;5937;106;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Dollerup;;;;24989;
1;Flensburg – Schleswig;1;0;59;5912;107;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Eggebek;;;;24852;
1;Flensburg – Schleswig;1;0;59;5990;109;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Esgrus;;;;24402;
1;Flensburg – Schleswig;1;0;59;5990;112;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Gelting;;;;24395;
1;Flensburg – Schleswig;1;0;59;0;113;Schleswig-Holstein;;Schleswig-Flensburg;;Glücksburg (Ostsee), Stadt;;;;24960;
1;Flensburg – Schleswig;1;0;59;5952;115;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Großenwiehe;;;;24969;
1;Flensburg – Schleswig;1;0;59;5919;116;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Großsolt;;;;24991;
1;Flensburg – Schleswig;1;0;59;5937;118;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Grundhof;;;;24977;
1;Flensburg – Schleswig;1;0;59;0;120;Schleswig-Holstein;;Schleswig-Flensburg;;Harrislee;;;;24955;
1;Flensburg – Schleswig;1;0;59;5990;121;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Hasselberg;;;;24376;
1;Flensburg – Schleswig;1;0;59;5952;123;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Hörup;;;;24980;
1;Flensburg – Schleswig;1;0;59;5952;124;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Holt;;;;24994;
1;Flensburg – Schleswig;1;0;59;5919;126;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Hürup;;;;24975;
1;Flensburg – Schleswig;1;0;59;5919;127;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Husby;;;;24975;
1;Flensburg – Schleswig;1;0;59;5912;128;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Janneby;;;;24992;
1;Flensburg – Schleswig;1;0;59;5952;129;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Jardelund;;;;24994;
1;Flensburg – Schleswig;1;0;59;5912;131;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Jerrishoe;;;;24963;
1;Flensburg – Schleswig;1;0;59;5912;132;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Jörl;;;;24992;
1;Flensburg – Schleswig;1;0;59;5990;136;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Kronsgaard;;;;24395;
1;Flensburg – Schleswig;1;0;59;5937;137;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Langballig;;;;24977;
1;Flensburg – Schleswig;1;0;59;5912;138;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Langstedt;;;;24852;
1;Flensburg – Schleswig;1;0;59;5919;141;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Maasbüll;;;;24975;
1;Flensburg – Schleswig;1;0;59;5990;142;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Maasholm;;;;24404;*****
1;Flensburg – Schleswig;1;0;59;5952;143;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Medelby;;;;24994;
1;Flensburg – Schleswig;1;0;59;5952;144;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Meyn;;;;24980;
1;Flensburg – Schleswig;1;0;59;5937;145;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Munkbrarup;;;;24960;
1;Flensburg – Schleswig;1;0;59;5990;147;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Nieby;;;;24395;
1;Flensburg – Schleswig;1;0;59;5990;148;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Niesgrau;;;;24395;
1;Flensburg – Schleswig;1;0;59;5952;149;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Nordhackstedt;;;;24980;
1;Flensburg – Schleswig;1;0;59;5952;151;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Osterby;;;;24994;
1;Flensburg – Schleswig;1;0;59;5990;152;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Pommerby;;;;24395;
1;Flensburg – Schleswig;1;0;59;5990;154;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Rabel;;;;24376;
1;Flensburg – Schleswig;1;0;59;5990;155;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Rabenholz;;;;24395;
1;Flensburg – Schleswig;1;0;59;5937;157;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Ringsberg;;;;24977;
1;Flensburg – Schleswig;1;0;59;5952;158;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Schafflund;;;;24980;
1;Flensburg – Schleswig;1;0;59;5940;159;Schleswig-Holstein;;Schleswig-Flensburg;Amt Oeversee;Sieverstedt;;;;24885;
1;Flensburg – Schleswig;1;0;59;5949;161;Schleswig-Holstein;;Schleswig-Flensburg;Amt Amt Mittelangeln;Sörup;;;;24966;
1;Flensburg – Schleswig;1;0;59;5912;162;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Sollerup;;;;24852;*****
1;Flensburg – Schleswig;1;0;59;5990;163;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Stangheck;;;;24395;
1;Flensburg – Schleswig;1;0;59;5990;164;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Steinberg;;;;24972;
1;Flensburg – Schleswig;1;0;59;5990;167;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Sterup;;;;24996;
1;Flensburg – Schleswig;1;0;59;5990;168;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Stoltebüll;;;;24409;
1;Flensburg – Schleswig;1;0;59;5912;169;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Süderhackstedt;;;;24852;*****
1;Flensburg – Schleswig;1;0;59;5940;171;Schleswig-Holstein;;Schleswig-Flensburg;Amt Oeversee;Tarp;;;;24963;
1;Flensburg – Schleswig;1;0;59;5952;173;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Wallsbüll;;;;24980;
1;Flensburg – Schleswig;1;0;59;5912;174;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Wanderup;;;;24997;
1;Flensburg – Schleswig;1;0;59;5937;176;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Wees;;;;24999;
1;Flensburg – Schleswig;1;0;59;5952;177;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Weesby;;;;24994;
1;Flensburg – Schleswig;1;0;59;5937;178;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Westerholz;;;;24977;
1;Flensburg – Schleswig;1;0;59;5952;179;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Lindewitt;;;;24969;
1;Flensburg – Schleswig;1;0;59;5919;182;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Freienwill;;;;24991;
1;Flensburg – Schleswig;1;0;59;0;183;Schleswig-Holstein;;Schleswig-Flensburg;;Handewitt;;;;24983;*****
1;Flensburg – Schleswig;1;0;59;5940;184;Schleswig-Holstein;;Schleswig-Flensburg;Amt Oeversee;Oeversee;;;;24988;
1;Flensburg – Schleswig;1;0;59;5949;185;Schleswig-Holstein;;Schleswig-Flensburg;Amt Amt Mittelangeln;Mittelangeln;;;;24986;
1;Flensburg – Schleswig;1;0;59;5990;186;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Steinbergkirche;;;;24972;
1;Flensburg – Schleswig;1;0;59;5974;187;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Boren;;;;24392;
1;Flensburg – Schleswig;1;0;59;5996;188;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Stapel;;;;25879;
1;Flensburg – Schleswig;1;0;59;5987;189;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Brodersby-Goltoft;;;;24864;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;5;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Barkenholm;;;;25791;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;8;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Bergewöhrden;;;;25779;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;13;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Büsum;;;;25761;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;14;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Büsumer Deichhausen;;;;25761;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;19;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Dellstedt;;;;25786;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;20;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Delve;;;;25788;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;23;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Dörpling;;;;25794;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;30;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Fedderingen;;;;25779;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;33;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Friedrichsgabekoog;;;;25764;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;35;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Gaushorn;;;;25782;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;36;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Glüsing;;;;25779;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;38;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Groven;;;;25774;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;43;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Hedwigenkoog;;;;25761;
2;Nordfriesland – Dithmarschen Nord;1;0;51;0;44;Schleswig-Holstein;;Dithmarschen;;Heide, Stadt;;;;25746;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;45;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Hellschen-Heringsand-Unterschaar;;;;25764;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;47;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Hemme;;;;25774;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;48;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Hemmingstedt;;;;25770;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;49;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Hennstedt;;;;25779;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;50;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Hillgroven;;;;25764;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;52;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Hövede;;;;25782;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;53;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Hollingstedt;;;;25788;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;58;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Karolinenkoog;;;;25774;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;60;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Kleve;;;;25779;*****
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;61;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Krempel;;;;25774;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;65;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Lehe;;;;25774;*****
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;67;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Lieth;;;;25770;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;68;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Linden;;;;25791;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;69;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Lohe-Rickelshof;;;;25746;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;71;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Lunden;;;;25774;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;75;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Neuenkirchen;;;;25792;*****
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;79;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Norddeich;;;;25764;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;80;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Norderheistedt;;;;25779;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;81;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Norderwöhrden;;;;25746;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;82;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Nordhastedt;;;;25785;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;84;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Oesterdeichstrich;;;;25761;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;87;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Ostrohe;;;;25746;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;88;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Pahlen;;;;25794;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;92;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Rehm-Flehde-Bargen;;;;25776;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;93;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Reinsbüttel;;;;25764;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;96;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Sankt Annen;;;;25776;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;100;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Schalkholz;;;;25782;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;102;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Schlichting;;;;25779;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;105;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Schülp;;;;25764;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;107;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Stelle-Wittenwurth;;;;25795;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;108;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Strübbel;;;;25792;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;109;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Süderdeich;;;;25764;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;113;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Wöhrden;;;;25797;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;114;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Tellingstedt;;;;25782;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;117;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Tielenhemme;;;;25794;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;120;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Wallen;;;;25788;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5178;121;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Warwerort;;;;25761;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5172;122;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Weddingstedt;;;;25795;
2;Nordfriesland – Dithmarschen Nord;1;0;51;5169;125;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Welmbüttel;;;;25782;
